country,rel,nonrel,a_adp_rel,a_adp_nonrel,a_div_rel,a_div_nonrel
AL,1029,400,-0.6411378555798687,-0.5758513931888545,-0.3300813008130075,-0.17676767676767724
AZ,1032,693,-0.8321878579610539,-0.8504273504273504,-0.3223455544343522,-0.12815371762740188
AT,724,905,0.06003039513677812,0.3172043010752688,0.19416706292597866,0.5410736579275897
AM,1236,245,-0.7269197584124245,-0.70995670995671,-0.48111748111748,-0.4453627180899909
BA,1396,319,-0.4598046581517656,-0.3129139072847682,-0.08733696549446941,0.153818313427434
BG,924,585,-0.4179389312977099,-0.3199608610567515,-0.05339435545385218,0.15887472171625164
BY,848,677,-0.6715189873417722,-0.5207667731629393,-0.04061117812625671,0.20080930703085445
HR,886,572,-0.40567200986436497,-0.022304832713754646,-0.17052469135802492,0.28443649373881885
CZ,374,1361,-0.08708708708708708,0.1226968174204355,0.006984126984126994,0.3201491890016477
DK,783,2541,0.24736842105263157,0.4564,0.5323895323895322,0.7538744418177108
EE,336,946,-0.5161870503597122,-0.22580645161290322,-0.06884798909338781,0.2392327180600789
FI,413,774,0.01913265306122449,0.3180026281208936,0.3033333333333329,0.6241103848946975
FR,675,1181,0.28852459016393445,0.5107334525939177,0.2575524833589347,0.5375375375375379
GE,2066,121,-0.7054535637149028,-0.5990566037735849,-0.502614379084966,-0.3222222222222222
DE,775,1349,0.1975397973950796,0.4174757281553398,0.25214814814814734,0.5913116123642459
HU,694,805,-0.2652892561983471,-0.09806629834254144,0.0016244314489928572,0.24736620311841503
IS,641,970,0.5369181380417335,0.6961297071129707,0.4149443561208257,0.7137593552101337
IT,1489,778,-0.151985559566787,0.04888268156424581,0.1226788432267881,0.5053013798111824
LT,666,734,-0.5588723051409619,-0.4955022488755622,0.03310799098630621,0.21277289019224466
ME,870,125,-0.4464922711058264,-0.25877192982456143,-0.3397857788101675,-0.15085817524841916
NL,778,1617,0.2618403247631935,0.5241423125794155,0.19039198349543182,0.6309373686422874
NO,388,731,0.3333333333333333,0.6448275862068965,0.3802978235967918,0.6753543667123906
PL,1076,264,-0.487152034261242,-0.19724770642201836,-0.172672672672673,0.33842239185750594
PT,815,396,0.10734463276836158,0.18679775280898878,0.016625103906899474,0.35029686174724317
RO,1324,284,-0.6174911660777385,-0.2943722943722944,-0.25030334546715266,0.002005615724027278
RU,900,856,-0.5939024390243902,-0.559010152284264,0.08498224251648898,0.20080808080808032
RS,1112,363,-0.6244019138755981,-0.5087976539589443,-0.0885122410546141,0.2091690544412609
SK,822,603,-0.5288461538461539,-0.31326352530541013,-0.045082535719239744,0.3149709574667405
SI,385,685,-0.21641791044776118,0.09792993630573249,0.16016548463356967,0.5309734513274322
ES,483,725,0.14831460674157304,0.44363103953147875,0.20113717128642478,0.5039849976558822
SE,371,818,0.438375350140056,0.6071428571428571,0.5573720859824395,0.7635292505822711
CH,999,2149,0.00672182006204757,0.29529243937232524,0.1961982348947715,0.5570168571577737
MK,887,214,-0.5156626506024097,-0.2995049504950495,-0.09102613621732984,0.27350427350427325
GB,679,1106,0.20444104134762633,0.39079925650557623,0.20329218106995847,0.5034343434343431
